what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.ui.ide.application,,"org.eclipse.ui.resourcePerspective",1460325236593
started,bundle,org.eclipse.osgi,3.8.1.dist,"org.eclipse.osgi",1460325236594
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.301.dist,"org.eclipse.equinox.simpleconfigurator",1460325236595
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1460325236595
started,bundle,org.apache.felix.gogo.command,0.12.0,"org.apache.felix.gogo.command",1460325236596
started,bundle,org.apache.felix.gogo.runtime,0.10.0,"org.apache.felix.gogo.runtime",1460325236597
started,bundle,org.apache.felix.gogo.shell,0.10.0,"org.apache.felix.gogo.shell",1460325236597
started,bundle,org.eclipse.core.contenttype,3.4.200.dist,"org.eclipse.core.contenttype",1460325236598
started,bundle,org.eclipse.core.databinding.observable,1.4.1.dist,"org.eclipse.core.databinding.observable",1460325236599
started,bundle,org.eclipse.core.expressions,3.4.400.dist,"org.eclipse.core.expressions",1460325236600
started,bundle,org.eclipse.core.filebuffers,3.5.200.dist,"org.eclipse.core.filebuffers",1460325236600
started,bundle,org.eclipse.core.jobs,3.5.200.dist,"org.eclipse.core.jobs",1460325236600
started,bundle,org.eclipse.core.net,1.2.200.dist,"org.eclipse.core.net",1460325236601
started,bundle,org.eclipse.core.resources,3.8.1.dist,"org.eclipse.core.resources",1460325236601
started,bundle,org.eclipse.core.runtime,3.8.0.dist,"org.eclipse.core.runtime",1460325236602
started,bundle,org.eclipse.core.runtime.compatibility,3.2.200.dist,"org.eclipse.core.runtime.compatibility",1460325236602
started,bundle,org.eclipse.debug.core,3.7.100.dist,"org.eclipse.debug.core",1460325236603
started,bundle,org.eclipse.debug.ui,3.8.1.dist,"org.eclipse.debug.ui",1460325236615
started,bundle,org.eclipse.equinox.app,1.3.100.dist,"org.eclipse.equinox.app",1460325236615
started,bundle,org.eclipse.equinox.common,3.6.100.dist,"org.eclipse.equinox.common",1460325236616
started,bundle,org.eclipse.equinox.console,1.0.0.dist,"org.eclipse.equinox.console",1460325236616
started,bundle,org.eclipse.equinox.ds,1.4.0.dist,"org.eclipse.equinox.ds",1460325236617
started,bundle,org.eclipse.equinox.event,1.2.200.dist,"org.eclipse.equinox.event",1460325236617
started,bundle,org.eclipse.equinox.p2.core,2.2.0.dist,"org.eclipse.equinox.p2.core",1460325236618
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.dist,"org.eclipse.equinox.p2.directorywatcher",1460325236619
started,bundle,org.eclipse.equinox.p2.engine,2.2.0.dist,"org.eclipse.equinox.p2.engine",1460325236620
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.dist,"org.eclipse.equinox.p2.metadata",1460325236620
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.100.dist,"org.eclipse.equinox.p2.metadata.repository",1460325236621
started,bundle,org.eclipse.equinox.p2.operations,2.2.0.dist,"org.eclipse.equinox.p2.operations",1460325236621
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.200.dist,"org.eclipse.equinox.p2.reconciler.dropins",1460325236622
started,bundle,org.eclipse.equinox.p2.repository,2.2.0.dist,"org.eclipse.equinox.p2.repository",1460325236622
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.1.0.dist,"org.eclipse.equinox.p2.ui.sdk.scheduler",1460325236623
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.dist,"org.eclipse.equinox.p2.updatechecker",1460325236623
started,bundle,org.eclipse.equinox.preferences,3.5.0.dist,"org.eclipse.equinox.preferences",1460325236624
started,bundle,org.eclipse.equinox.registry,3.5.200.dist,"org.eclipse.equinox.registry",1460325236624
started,bundle,org.eclipse.equinox.security,1.1.100.dist,"org.eclipse.equinox.security",1460325236625
started,bundle,org.eclipse.equinox.util,1.0.400.dist,"org.eclipse.equinox.util",1460325236625
started,bundle,org.eclipse.help,3.6.0.dist,"org.eclipse.help",1460325236640
started,bundle,org.eclipse.jdt.core,3.8.2.dist,"org.eclipse.jdt.core",1460325236641
started,bundle,org.eclipse.jface,3.8.0.dist,"org.eclipse.jface",1460325236641
started,bundle,org.eclipse.team.core,3.6.100.dist,"org.eclipse.team.core",1460325236642
started,bundle,org.eclipse.ui,3.8.0.dist,"org.eclipse.ui",1460325236643
started,bundle,org.eclipse.ui.editors,3.8.0.dist,"org.eclipse.ui.editors",1460325236644
started,bundle,org.eclipse.ui.externaltools,3.2.100.dist,"org.eclipse.ui.externaltools",1460325236644
started,bundle,org.eclipse.ui.forms,3.5.200.dist,"org.eclipse.ui.forms",1460325236645
started,bundle,org.eclipse.ui.ide,3.8.1.dist,"org.eclipse.ui.ide",1460325236661
started,bundle,org.eclipse.ui.intro,3.4.200.dist,"org.eclipse.ui.intro",1460325236661
started,bundle,org.eclipse.ui.intro.universal,3.2.600.dist,"org.eclipse.ui.intro.universal",1460325236661
started,bundle,org.eclipse.ui.navigator,3.5.200.dist,"org.eclipse.ui.navigator",1460325236662
started,bundle,org.eclipse.ui.navigator.resources,3.4.400.dist,"org.eclipse.ui.navigator.resources",1460325236662
started,bundle,org.eclipse.ui.net,1.2.101.dist,"org.eclipse.ui.net",1460325236662
started,bundle,org.eclipse.ui.views,3.6.100.dist,"org.eclipse.ui.views",1460325236663
started,bundle,org.eclipse.ui.workbench,3.8.1.dist,"org.eclipse.ui.workbench",1460325236663
started,bundle,org.eclipse.ui.workbench.texteditor,3.8.0.dist,"org.eclipse.ui.workbench.texteditor",1460325236664
started,bundle,org.eclipse.update.configurator,3.3.200.dist,"org.eclipse.update.configurator",1460325236665
started,bundle,org.eclipse.update.core,3.2.600.dist,"org.eclipse.update.core",1460325236665
started,bundle,org.eclipse.update.scheduler,3.2.400.dist,"org.eclipse.update.scheduler",1460325236665
started,bundle,org.eclipse.jdt.core.manipulation,1.5.0.dist,"org.eclipse.jdt.core.manipulation",1460325236666
started,bundle,org.eclipse.jdt.ui,3.8.1.dist,"org.eclipse.jdt.ui",1460325236670
started,bundle,org.eclipse.ui.trace,1.0.1.dist,"org.eclipse.ui.trace",1460325236671
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1460325236671
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1460325236672
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1460325236673
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1460325236674
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1460325236675
